1	 0.600	 0	 0	 0	 0	 0	 0
1	 0.150	 3	 1	 5	 5	 0	 1
1	 0.150	 3	 1	 5	 5	 0	 1
1	 0.150	 3	 1	 5	 5	 0	 1
1	 0.150	 3	 1	 5	 5	 0	 1
1	 0.150	 3	 1	 5	 5	 0	 1
1	 0.150	 3	 1	 5	 5	 0	 1
1	 0.150	 3	 0	 5	 0	 0	 1
1	 0.300	 4	 5	 5	 5	 0	 1
1	 0.300	 5	 1	 5	 5	 0	 1
1	 0.150	 3	 1	 5	 5	 0	 1
1	 0.150	 3	 1	 5	 5	 0	 1
1	 0.150	 3	 1	 5	 5	 0	 1
1	 0.150	 3	 1	 5	 5	 0	 1
2	 0.150	 3	 1	 5	 5	 0	 1
2	 0.150	 3	 1	 5	 5	 0	 1
2	 0.150	 3	 1	 5	 5	 0	 1
2	 0.150	 3	 1	 5	 5	 0	 1
2	 0.150	 3	 1	 5	 5	 0	 1
2	 0.150	 3	 1	 5	 5	 0	 1
2	 0.150	 3	 1	 5	 5	 0	 1
2	 0.150	 3	 0	 5	 0	 0	 1
2	 0.300	 0	 5	 0	 5	 0	 1
2	 0.300	 5	 1	 5	 5	 0	 1
2	 0.150	 3	 1	 5	 5	 0	 1
2	 0.150	 3	 1	 5	 5	 0	 1
2	 0.150	 3	 1	 5	 5	 1	 1
3	 0.150	 3	 1	 5	 5	 0	 1
3	 0.150	 3	 1	 5	 5	 0	 1
3	 0.150	 3	 1	 5	 5	 0	 1
3	 0.150	 3	 1	 5	 5	 0	 1
3	 0.150	 3	 1	 5	 5	 0	 1
3	 0.150	 3	 1	 5	 5	 0	 1
3	 0.150	 3	 1	 5	 5	 0	 1
3	 0.150	 3	 1	 5	 5	 0	 1
3	 0.150	 3	 1	 5	 5	 0	 1
3	 0.150	 3	 1	 5	 5	 0	 1
3	 0.150	 3	 1	 5	 5	 0	 1
3	 0.150	 3	 1	 5	 5	 0	 1
3	 0.150	 3	 1	 5	 5	 0	 1
3	 0.150	 3	 1	 5	 5	 0	 1
3	 0.150	 3	 0	 5	 0	 0	 1
4	 0.300	 4	 5	 5	 5	 0	 1
4	 0.300	 5	 1	 5	 5	 0	 1
4	 0.150	 3	 1	 5	 5	 0	 1
4	 0.150	 3	 1	 5	 5	 0	 1
4	 0.150	 3	 1	 5	 5	 0	 1
4	 0.150	 3	 1	 5	 5	 0	 1
4	 0.150	 3	 1	 5	 5	 0	 1
4	 0.150	 3	 1	 5	 5	 0	 1
4	 0.150	 3	 1	 5	 5	 0	 1
4	 0.150	 3	 1	 5	 5	 0	 1
4	 0.150	 3	 1	 5	 5	 0	 1
4	 0.150	 3	 1	 5	 5	 0	 1
4	 0.150	 3	 1	 5	 5	 0	 1
4	 0.150	 3	 0	 5	 0	 0	 1
5	 0.300	 0	 5	 0	 5	 0	 1
5	 0.300	 5	 1	 5	 5	 0	 1
5	 0.150	 3	 1	 5	 5	 0	 1
5	 0.150	 3	 1	 5	 5	 0	 1
5	 0.150	 3	 1	 5	 5	 1	 1
5	 0.150	 3	 1	 5	 5	 0	 1
5	 0.150	 3	 1	 5	 5	 0	 1
5	 0.150	 3	 1	 5	 5	 0	 1
5	 0.150	 3	 1	 5	 5	 0	 1
5	 0.150	 3	 1	 5	 5	 0	 1
5	 0.150	 3	 1	 5	 5	 0	 1
5	 0.150	 3	 1	 5	 5	 0	 1
5	 0.150	 3	 1	 5	 5	 0	 1
5	 0.150	 3	 1	 5	 5	 0	 1
6	 0.150	 3	 1	 5	 5	 0	 1
6	 0.150	 3	 1	 5	 5	 0	 1
6	 0.150	 3	 1	 5	 5	 0	 1
6	 0.150	 3	 1	 5	 5	 0	 1
6	 0.150	 3	 1	 5	 5	 0	 1
6	 0.150	 3	 0	 5	 0	 0	 1
6	 0.300	 4	 5	 5	 5	 0	 1
6	 0.300	 5	 1	 5	 5	 0	 1
6	 0.150	 3	 1	 5	 5	 0	 1
6	 0.150	 3	 1	 5	 5	 0	 1
6	 0.150	 3	 1	 5	 5	 0	 1
6	 0.150	 3	 1	 5	 5	 0	 1
6	 0.150	 3	 1	 5	 5	 0	 1
6	 0.150	 3	 1	 5	 5	 0	 1
7	 0.150	 3	 1	 5	 5	 0	 1
7	 0.150	 3	 1	 5	 5	 0	 1
7	 0.150	 3	 1	 5	 5	 0	 1
7	 0.150	 3	 1	 5	 5	 0	 1
7	 0.150	 3	 1	 5	 5	 0	 1
7	 0.150	 3	 0	 5	 0	 0	 1
7	 0.300	 0	 5	 0	 5	 0	 1
7	 0.300	 5	 1	 5	 5	 0	 1
7	 0.150	 3	 1	 5	 5	 0	 1
7	 0.150	 3	 1	 5	 5	 0	 1
7	 0.150	 3	 1	 5	 5	 1	 1
7	 0.150	 3	 1	 5	 5	 0	 1
7	 0.150	 3	 1	 5	 5	 0	 1
7	 0.150	 3	 1	 5	 5	 0	 1
8	 0.150	 3	 1	 5	 5	 0	 1
8	 0.150	 3	 1	 5	 5	 0	 1
8	 0.150	 3	 1	 5	 5	 0	 1
8	 0.150	 3	 1	 5	 5	 0	 1
8	 0.150	 3	 1	 5	 5	 0	 1
9	 0.600	 0	 0	 0	 0	 0	 0
-1	 0.600	 1	 1	 1	 1	 1	 1
